slot, allocate quality, display quality,pose,delay, throughput, video size
1,1,0,(null),12.314584,1.4184772,18865
2,1,0,(null),5.824479,2.9996243,18865
3,1,0,(null),2.630729,6.6441073,18865
4,1,0,(null),2.117708,8.253215,18865
5,1,0,(null),3.270313,5.3438725,18865
6,1,0,(null),0.0,0.0,18865
7,1,0,(null),0.0,0.0,18865
8,1,4,(0 0 -3.2963104 63.50255),0.0,0.0,18865
9,1,4,(0 0 -3.2963104 63.50255),0.0,0.0,0
10,1,4,(0 0 -3.2963104 63.50255),0.0,0.0,0
12,1,4,(0 0 -3.2963104 63.50255),0.0,0.0,0
12,1,4,(0 0 -3.2963104 63.50255),0.0,0.0,0
13,1,4,(0 0 -3.2963104 63.50255),0.0,0.0,0
14,1,4,(0 0 -3.2963104 63.50255),0.0,0.0,0
15,1,0,(null),0.0,0.0,0
16,1,0,(null),0.0,0.0,0
17,1,0,(null),0.0,0.0,0
18,1,0,(null),0.0,0.0,0
19,1,0,(null),0.0,0.0,0
20,1,5,(0 0 -3.2963104 63.50255),0.0,0.0,0
21,1,5,(0 0 -3.2963104 63.50255),0.0,0.0,0
22,2,5,(0 0 -3.2963104 63.50255),3.469792,7.052023,25836
23,5,5,(0 0 -3.2963104 63.50255),8.439583,9.522238,81729
24,5,5,(0 0 -3.2963104 63.50255),0.0,0.0,0
25,3,5,(0 0 -3.2963104 63.50255),4.498958,7.8895507,36866
26,5,5,(0 0 -3.2963104 63.50255),0.0,0.0,0
27,5,5,(0 0 -3.2963104 63.50255),0.0,0.0,0
28,5,5,(0 0 -3.2963104 63.50255),0.0,0.0,0
29,5,5,(0 0 -3.2963104 63.50255),0.0,0.0,0
30,5,5,(0 0 -3.2963104 63.50255),0.0,0.0,0
31,5,5,(0 0 -3.2963104 63.50255),0.0,0.0,0
32,5,5,(0 0 -3.2963104 63.50255),0.0,0.0,0
33,5,5,(0 0 -3.2963104 63.50255),0.0,0.0,0
34,5,5,(0 0 -3.2963104 63.50255),0.0,0.0,0
35,5,5,(0 0 -3.2963104 63.50255),0.0,0.0,0
36,5,5,(0 0 -3.8227997 63.651947),0.0,0.0,0
37,5,5,(0 0 -4.4809265 63.8387),0.0,0.0,0
38,5,5,(0 0 -4.8757935 63.950745),0.0,0.0,0
39,5,5,(0 0 -5.2706604 64.06279),0.0,0.0,0
40,5,5,(0 0 -6.200363 64.67801),0.0,0.0,0
41,5,5,(0 0 -6.744446 65.15996),0.0,0.0,0
42,5,5,(0 0 -6.69046 65.27826),0.0,0.0,0
43,5,5,(0 0 -6.8459473 65.51425),0.0,0.0,0
44,5,5,(0 0 -6.931183 65.765015),0.0,0.0,0
45,5,5,(0 0 -6.8515778 65.931885),0.0,0.0,0
46,5,5,(0 0 -6.826721 66.08278),0.0,0.0,0
47,5,5,(0 0 -6.7947083 66.26706),0.0,0.0,0
48,5,5,(0 0 -6.725525 66.36441),0.0,0.0,0
49,5,5,(0 0 -6.725464 66.340546),0.0,0.0,0
50,5,5,(0 0 -6.7317505 66.25905),0.0,0.0,0
51,5,5,(0 0 -6.71463 66.21083),0.0,0.0,0
52,5,5,(0 0 -6.715927 66.19055),0.0,0.0,0
53,5,5,(0 0 -6.8056335 65.96274),0.0,0.0,0
54,5,5,(0 0 -6.872162 65.71701),0.0,0.0,0
55,5,5,(0 0 -6.9482117 65.5889),0.0,0.0,0
56,5,5,(0 0 -7.0245056 65.44385),0.0,0.0,0
57,5,5,(0 0 -7.061142 65.29379),0.0,0.0,0
58,5,5,(0 0 -7.172928 65.10376),0.0,0.0,0
59,5,5,(0 0 -7.3021393 64.97183),0.0,0.0,0
60,5,5,(0 0 -7.3465424 64.79617),0.0,0.0,0
61,5,5,(0 0 -7.3258514 64.66647),0.0,0.0,0
62,5,5,(0 0 -7.2769165 64.56123),0.0,0.0,0
63,5,5,(0 0 -7.241684 64.39517),0.0,0.0,0
64,5,5,(0 0 -7.143997 64.24594),0.0,0.0,0
65,5,5,(0 0 -7.025177 64.09569),0.0,0.0,0
66,5,5,(0 0 -7.0000763 63.90677),0.0,0.0,0
67,5,5,(0 0 -7.0103455 63.75151),0.0,0.0,0
68,5,5,(0 0 -6.922409 63.6362),0.0,0.0,0
69,5,5,(0 0 -6.840393 63.481552),0.0,0.0,0
70,5,5,(0 0 -6.8066254 63.317673),0.0,0.0,0
71,5,5,(0 0 -6.791565 63.220642),0.0,0.0,0
72,5,5,(0 0 -6.796112 63.113556),0.0,0.0,0
73,5,5,(0 0 -6.8049164 63.01883),0.0,0.0,0
74,5,5,(0 0 -6.761505 62.922897),0.0,0.0,0
75,5,5,(0 0 -6.6949463 62.79721),0.0,0.0,0
76,5,5,(0 0 -6.6734314 62.686935),0.0,0.0,0
77,5,5,(0 0 -6.6461945 62.53415),0.0,0.0,0
78,5,5,(0 0 -6.606842 62.36914),0.0,0.0,0
79,5,5,(0 0 -6.5471497 62.273834),0.0,0.0,0
80,5,5,(0 0 -6.531311 62.202057),0.0,0.0,0
81,5,5,(0 0 -6.4794617 62.122406),0.0,0.0,0
82,5,5,(0 0 -6.4443665 62.081085),0.0,0.0,0
83,5,5,(0 0 -6.454254 62.043274),0.0,0.0,0
84,5,5,(0 0 -6.4228363 61.95529),0.0,0.0,0
85,5,5,(0 0 -6.3925323 61.852463),0.0,0.0,0
86,5,5,(0 0 -6.369629 61.762665),0.0,0.0,0
87,5,5,(0 0 -6.356552 61.668213),0.0,0.0,0
88,5,5,(0 0 -6.3432617 61.59201),0.0,0.0,0
89,5,5,(0 0 -6.3232117 61.525055),0.0,0.0,0
90,5,5,(0 0 -6.366089 61.425323),0.0,0.0,0
91,5,5,(0 0 -6.3897095 61.319168),0.0,0.0,0
92,5,5,(0 0 -6.373993 61.224136),0.0,0.0,0
93,5,5,(0 0 -6.390152 61.168167),0.0,0.0,0
94,5,5,(0 0 -6.3935394 61.12439),0.0,0.0,0
95,5,5,(0 0 -6.385544 61.06189),0.0,0.0,0
96,5,5,(0 0 -6.386093 60.948715),0.0,0.0,0
97,5,5,(0 0 -6.367218 60.887802),0.0,0.0,0
98,5,5,(0 0 -6.3433075 60.867767),0.0,0.0,0
99,5,5,(0 0 -6.305252 60.80429),0.0,0.0,0
100,5,5,(0 0 -6.2344513 60.76956),0.0,0.0,0
101,5,5,(0 0 -6.168915 60.748276),0.0,0.0,0
102,5,5,(0 0 -6.128998 60.71637),0.0,0.0,0
103,5,5,(0 0 -6.112686 60.67958),0.0,0.0,0
104,5,5,(0 0 -6.0953827 60.63867),0.0,0.0,0
105,5,5,(0 0 -6.0409546 60.58023),0.0,0.0,0
106,5,5,(0 0 -6.0095215 60.503143),0.0,0.0,0
107,5,5,(0 0 -5.9805145 60.44194),0.0,0.0,0
108,5,5,(0 0 -5.9320526 60.38971),0.0,0.0,0
109,5,5,(0 0 -5.9121704 60.227386),0.0,0.0,0
110,5,5,(0 0 -5.90007 60.06131),0.0,0.0,0
111,5,5,(0 0 -5.8790436 59.95369),0.0,0.0,0
112,5,5,(0 0 -5.8822327 59.8907),0.0,0.0,0
113,5,5,(0 0 -5.905548 59.717377),0.0,0.0,0
114,5,5,(0 0 -5.9194183 59.484985),0.0,0.0,0
115,5,5,(0 0 -5.916168 59.34665),0.0,0.0,0
116,5,5,(0 0 -5.9201508 59.246033),0.0,0.0,0
117,5,5,(0 0 -5.9317474 59.136932),0.0,0.0,0
118,5,5,(0 0 -5.8744965 58.970703),0.0,0.0,0
119,5,5,(0 0 -5.7880554 58.814163),0.0,0.0,0
120,5,5,(0 0 -5.7302704 58.683807),0.0,0.0,0
121,5,5,(0 0 -5.690918 58.562027),0.0,0.0,0
122,5,5,(0 0 -5.746048 58.503006),0.0,0.0,0
123,5,5,(0 0 -5.818161 58.449142),0.0,0.0,0
124,5,5,(0 0 -5.752899 58.329697),0.0,0.0,0
125,5,5,(0 0 -5.6648407 58.08429),0.0,0.0,0
126,5,5,(0 0 -5.622589 57.827927),0.0,0.0,0
127,5,5,(0 0 -5.5630035 57.557724),0.0,0.0,0
128,5,5,(0 0 -5.53096 57.25522),0.0,0.0,0
129,5,5,(0 0 -5.5155334 56.98529),0.0,0.0,0
130,5,5,(0 0 -5.4720154 56.711044),0.0,0.0,0
131,5,5,(0 0 -5.3897247 56.319),0.0,0.0,0
132,5,5,(0 0 -5.3045807 55.903946),0.0,0.0,0
133,5,5,(0 0 -5.239914 55.36554),0.0,0.0,0
134,5,5,(0 0 -5.1051636 54.632935),0.0,0.0,0
135,5,5,(0 0 -4.9514465 53.95349),0.0,0.0,0
136,5,5,(0 0 -4.919876 53.314926),0.0,0.0,0
137,5,5,(0 0 -4.9953613 52.676193),0.0,0.0,0
138,5,5,(0 0 -5.048767 52.05635),0.0,0.0,0
139,5,5,(0 0 -5.0057983 51.54834),0.0,0.0,0
140,5,5,(0 0 -4.968918 51.048096),0.0,0.0,0
141,5,5,(0 0 -4.963791 50.48456),0.0,0.0,0
142,5,5,(0 0 -4.9431305 50.06584),0.0,0.0,0
143,5,5,(0 0 -4.891327 49.72194),0.0,0.0,0
144,5,5,(0 0 -4.8349915 49.321243),0.0,0.0,0
145,5,5,(0 0 -4.7815857 48.78),0.0,0.0,0
146,5,5,(0 0 -4.7562866 48.368835),0.0,0.0,0
147,5,5,(0 0 -4.7115326 48.042786),0.0,0.0,0
148,5,5,(0 0 -4.642929 47.63298),0.0,0.0,0
149,5,5,(0 0 -4.6454926 47.247772),0.0,0.0,0
150,5,5,(0 0 -4.6616974 46.866867),0.0,0.0,0
151,5,5,(0 0 -4.4956055 46.440826),0.0,0.0,0
152,5,5,(0 0 -4.3540344 46.014313),0.0,0.0,0
153,5,5,(0 0 -4.305786 45.608246),0.0,0.0,0
154,5,5,(0 0 -4.301605 45.232986),0.0,0.0,0
155,5,5,(0 0 -4.286072 44.829132),0.0,0.0,0
156,5,5,(0 0 -4.1707306 44.2377),0.0,0.0,0
157,5,5,(0 0 -4.056946 43.6248),0.0,0.0,0
158,5,5,(0 0 -3.9449463 42.872665),0.0,0.0,0
159,5,5,(0 0 -3.8347778 42.053513),0.0,0.0,0
160,5,5,(0 0 -3.7393646 41.34111),0.0,0.0,0
161,5,5,(0 0 -3.7603912 40.840378),0.0,0.0,0
162,5,5,(0 0 -3.8115387 40.391068),0.0,0.0,0
163,5,5,(0 0 -3.6899567 39.750732),0.0,0.0,0
164,5,5,(0 0 -3.658081 39.086792),0.0,0.0,0
165,5,5,(0 0 -3.6760406 38.39319),0.0,0.0,0
166,5,5,(0 0 -3.6260986 37.68199),0.0,0.0,0
167,5,5,(0 0 -3.5531158 37.10843),0.0,0.0,0
168,5,5,(0 0 -3.380661 36.55211),0.0,0.0,0
169,5,5,(0 0 -3.2064056 35.94333),0.0,0.0,0
170,5,5,(0 0 -3.1138153 35.31299),0.0,0.0,0
171,5,5,(0 0 -2.9869232 34.580353),0.0,0.0,0
172,5,5,(0 0 -2.830597 33.836517),0.0,0.0,0
173,5,5,(0 0 -2.6513062 33.133118),0.0,0.0,0
174,5,5,(0 0 -2.5658112 32.5549),0.0,0.0,0
175,5,5,(0 0 -2.5289307 32.012238),0.0,0.0,0
176,5,5,(0 0 -2.5345917 31.499191),0.0,0.0,0
177,5,5,(0 0 -2.5609741 31.078125),0.0,0.0,0
178,5,5,(0 0 -2.5391235 30.627655),0.0,0.0,0
179,5,5,(0 0 -2.398819 30.190903),0.0,0.0,0
180,5,5,(0 0 -2.2962341 29.755615),0.0,0.0,0
181,5,5,(0 0 -2.2705383 29.293655),0.0,0.0,0
182,5,5,(0 0 -2.2546387 28.841187),0.0,0.0,0
183,5,5,(0 0 -2.2693176 28.434464),0.0,0.0,0
184,5,5,(0 0 -2.267105 28.036789),0.0,0.0,0
185,5,5,(0 0 -2.1734161 27.644577),0.0,0.0,0
186,5,5,(0 0 -2.0707703 27.121094),0.0,0.0,0
187,5,5,(0 0 -2.0118103 26.549133),0.0,0.0,0
188,5,5,(0 0 -1.9195099 26.126663),0.0,0.0,0
189,5,5,(0 0 -1.8317261 25.733429),0.0,0.0,0
190,5,5,(0 0 -1.7606201 25.302277),0.0,0.0,0
191,5,5,(0 0 -1.7107239 24.780212),0.0,0.0,0
192,5,5,(0 0 -1.7220154 24.28778),0.0,0.0,0
193,5,5,(0 0 -1.7334747 23.851349),0.0,0.0,0
194,5,5,(0 0 -1.7433319 23.474075),0.0,0.0,0
195,5,5,(0 0 -1.6929474 23.041626),0.0,0.0,0
196,5,5,(0 0 -1.6049957 22.595139),0.0,0.0,0
197,5,5,(0 0 -1.5483398 22.19867),0.0,0.0,0
198,5,5,(0 0 -1.4995117 21.82837),0.0,0.0,0
199,5,5,(0 0 -1.4516449 21.470535),0.0,0.0,0
200,5,5,(0 0 -1.4771576 20.999146),0.0,0.0,0
201,5,5,(0 0 -1.4156952 20.536407),0.0,0.0,0
202,5,5,(0 0 -1.3540955 20.189484),0.0,0.0,0
203,5,5,(0 0 -1.3613739 19.843124),0.0,0.0,0
204,5,5,(0 0 -1.2367096 19.43608),0.0,0.0,0
205,5,5,(0 0 -1.09021 19.053452),0.0,0.0,0
206,5,5,(0 0 -0.9944916 18.693115),0.0,0.0,0
207,5,5,(0 0 -0.8705292 18.425964),0.0,0.0,0
208,5,0,(null),0.0,0.0,0
209,5,6,(0 0 -0.7524414 17.731537),0.0,0.0,0
