slot, allocate quality, display quality,pose,delay, throughput, video size
1,1,0,(null),1.726198,7.451536,14257
2,1,3,(0 0 -3.2963104 63.50255),1.592709,8.076106,14257
3,1,3,(0 0 -3.2963104 63.50255),1.238073,10.392115,14257
4,1,3,(0 0 -3.2963104 63.50255),0.734687,17.51611,14257
5,1,3,(0 0 -3.2963104 63.50255),0.685312,18.77935,14257
6,1,3,(0 0 -3.2963104 63.50255),0.755416,17.036201,14257
7,1,0,(null),0.0,0.0,14257
8,3,8,(0 0 -3.2963104 63.50255),2.13198,13.884888,30990
9,1,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
10,1,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
11,1,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
12,1,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
13,2,8,(0 0 -3.2963104 63.50255),0.725886,26.41894,20562
14,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,205130
15,8,8,(0 0 -3.2963104 63.50255),12.716719,10.169808,130716
16,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
17,3,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
18,3,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
19,3,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
20,3,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
21,4,8,(0 0 -3.2963104 63.50255),2.980364,17.685106,54097
22,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
23,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
24,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
25,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
26,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
27,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
28,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
29,-1,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
30,-1,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
31,-1,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
32,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
33,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
34,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
35,8,8,(0 0 -3.2963104 63.50255),0.0,0.0,0
36,8,8,(0 0 -3.8227997 63.651947),0.0,0.0,0
37,8,8,(0 0 -4.4809265 63.8387),0.0,0.0,0
38,8,8,(0 0 -4.8757935 63.950745),0.0,0.0,0
39,8,8,(0 0 -5.2706604 64.06279),0.0,0.0,0
40,8,8,(0 0 -6.200363 64.67801),0.0,0.0,0
41,8,8,(0 0 -6.744446 65.15996),0.0,0.0,0
42,8,8,(0 0 -6.69046 65.27826),0.0,0.0,0
43,8,8,(0 0 -6.8459473 65.51425),0.0,0.0,0
44,8,8,(0 0 -6.931183 65.765015),0.0,0.0,0
45,8,8,(0 0 -6.8515778 65.931885),0.0,0.0,0
46,8,8,(0 0 -6.826721 66.08278),0.0,0.0,0
47,8,8,(0 0 -6.7947083 66.26706),0.0,0.0,0
48,8,8,(0 0 -6.725525 66.36441),0.0,0.0,0
49,8,8,(0 0 -6.725464 66.340546),0.0,0.0,0
50,8,8,(0 0 -6.7317505 66.25905),0.0,0.0,0
51,8,8,(0 0 -6.71463 66.21083),0.0,0.0,0
52,8,8,(0 0 -6.715927 66.19055),0.0,0.0,0
53,8,8,(0 0 -6.8056335 65.96274),0.0,0.0,0
54,8,8,(0 0 -6.872162 65.71701),0.0,0.0,0
55,8,8,(0 0 -6.9482117 65.5889),0.0,0.0,0
56,8,8,(0 0 -7.0245056 65.44385),0.0,0.0,0
57,8,8,(0 0 -7.061142 65.29379),0.0,0.0,0
58,8,8,(0 0 -7.172928 65.10376),0.0,0.0,0
59,8,8,(0 0 -7.3021393 64.97183),0.0,0.0,0
60,8,8,(0 0 -7.3465424 64.79617),0.0,0.0,0
61,8,8,(0 0 -7.3258514 64.66647),0.0,0.0,0
62,8,8,(0 0 -7.2769165 64.56123),0.0,0.0,0
63,8,8,(0 0 -7.241684 64.39517),0.0,0.0,0
64,8,8,(0 0 -7.143997 64.24594),0.0,0.0,0
65,8,8,(0 0 -7.025177 64.09569),0.0,0.0,0
66,8,8,(0 0 -7.0000763 63.90677),0.0,0.0,0
67,8,8,(0 0 -7.0103455 63.75151),0.0,0.0,0
68,8,8,(0 0 -6.922409 63.6362),0.0,0.0,0
69,8,8,(0 0 -6.840393 63.481552),0.0,0.0,0
70,8,8,(0 0 -6.8066254 63.317673),0.0,0.0,0
71,8,8,(0 0 -6.791565 63.220642),0.0,0.0,0
72,8,8,(0 0 -6.796112 63.113556),0.0,0.0,0
73,8,8,(0 0 -6.8049164 63.01883),0.0,0.0,0
74,8,8,(0 0 -6.761505 62.922897),0.0,0.0,0
75,8,8,(0 0 -6.6949463 62.79721),0.0,0.0,0
76,8,8,(0 0 -6.6734314 62.686935),0.0,0.0,0
77,8,8,(0 0 -6.6461945 62.53415),0.0,0.0,0
78,8,8,(0 0 -6.606842 62.36914),0.0,0.0,0
79,8,8,(0 0 -6.5471497 62.273834),0.0,0.0,0
80,8,8,(0 0 -6.531311 62.202057),0.0,0.0,0
81,8,8,(0 0 -6.4794617 62.122406),0.0,0.0,0
82,8,8,(0 0 -6.4443665 62.081085),0.0,0.0,0
83,8,8,(0 0 -6.454254 62.043274),0.0,0.0,0
84,8,8,(0 0 -6.4228363 61.95529),0.0,0.0,0
85,8,8,(0 0 -6.3925323 61.852463),0.0,0.0,0
86,8,8,(0 0 -6.369629 61.762665),0.0,0.0,0
87,8,8,(0 0 -6.356552 61.668213),0.0,0.0,0
88,8,8,(0 0 -6.3432617 61.59201),0.0,0.0,0
89,8,8,(0 0 -6.3232117 61.525055),0.0,0.0,0
90,8,8,(0 0 -6.366089 61.425323),0.0,0.0,0
91,8,8,(0 0 -6.3897095 61.319168),0.0,0.0,0
92,8,8,(0 0 -6.373993 61.224136),0.0,0.0,0
93,8,8,(0 0 -6.390152 61.168167),0.0,0.0,0
94,8,8,(0 0 -6.3935394 61.12439),0.0,0.0,0
95,8,8,(0 0 -6.385544 61.06189),0.0,0.0,0
96,8,8,(0 0 -6.386093 60.948715),0.0,0.0,0
97,8,8,(0 0 -6.367218 60.887802),0.0,0.0,0
98,8,8,(0 0 -6.3433075 60.867767),0.0,0.0,0
99,8,8,(0 0 -6.305252 60.80429),0.0,0.0,0
100,8,8,(0 0 -6.2344513 60.76956),0.0,0.0,0
101,8,8,(0 0 -6.168915 60.748276),0.0,0.0,0
102,8,8,(0 0 -6.128998 60.71637),0.0,0.0,0
103,8,8,(0 0 -6.112686 60.67958),0.0,0.0,0
104,8,8,(0 0 -6.0953827 60.63867),0.0,0.0,0
105,8,8,(0 0 -6.0409546 60.58023),0.0,0.0,0
106,8,8,(0 0 -6.0095215 60.503143),0.0,0.0,0
107,8,8,(0 0 -5.9805145 60.44194),0.0,0.0,0
108,8,8,(0 0 -5.9320526 60.38971),0.0,0.0,0
109,8,8,(0 0 -5.9121704 60.227386),0.0,0.0,0
110,8,8,(0 0 -5.90007 60.06131),0.0,0.0,0
111,8,8,(0 0 -5.8790436 59.95369),0.0,0.0,0
112,8,8,(0 0 -5.8822327 59.8907),0.0,0.0,0
113,8,8,(0 0 -5.905548 59.717377),0.0,0.0,0
114,8,8,(0 0 -5.9194183 59.484985),0.0,0.0,0
115,8,8,(0 0 -5.916168 59.34665),0.0,0.0,0
116,8,8,(0 0 -5.9201508 59.246033),0.0,0.0,0
117,8,8,(0 0 -5.9317474 59.136932),0.0,0.0,0
118,8,8,(0 0 -5.8744965 58.970703),0.0,0.0,0
119,8,8,(0 0 -5.7880554 58.814163),0.0,0.0,0
120,8,8,(0 0 -5.7302704 58.683807),0.0,0.0,0
121,8,8,(0 0 -5.690918 58.562027),0.0,0.0,0
122,8,8,(0 0 -5.746048 58.503006),0.0,0.0,0
123,8,8,(0 0 -5.818161 58.449142),0.0,0.0,0
124,8,8,(0 0 -5.752899 58.329697),0.0,0.0,0
125,8,8,(0 0 -5.6648407 58.08429),0.0,0.0,0
126,8,8,(0 0 -5.622589 57.827927),0.0,0.0,0
127,8,8,(0 0 -5.5630035 57.557724),0.0,0.0,0
128,8,8,(0 0 -5.53096 57.25522),0.0,0.0,0
129,8,8,(0 0 -5.5155334 56.98529),0.0,0.0,0
130,8,8,(0 0 -5.4720154 56.711044),0.0,0.0,0
131,8,8,(0 0 -5.3897247 56.319),0.0,0.0,0
132,8,8,(0 0 -5.3045807 55.903946),0.0,0.0,0
133,8,8,(0 0 -5.239914 55.36554),0.0,0.0,0
134,8,8,(0 0 -5.1051636 54.632935),0.0,0.0,0
135,8,8,(0 0 -4.9514465 53.95349),0.0,0.0,0
136,8,8,(0 0 -4.919876 53.314926),0.0,0.0,0
137,8,8,(0 0 -4.9953613 52.676193),0.0,0.0,0
138,8,8,(0 0 -5.048767 52.05635),0.0,0.0,0
139,8,8,(0 0 -5.0057983 51.54834),0.0,0.0,0
140,8,8,(0 0 -4.968918 51.048096),0.0,0.0,0
141,8,8,(0 0 -4.963791 50.48456),0.0,0.0,0
142,8,8,(0 0 -4.9431305 50.06584),0.0,0.0,0
143,8,8,(0 0 -4.891327 49.72194),0.0,0.0,0
144,8,8,(0 0 -4.8349915 49.321243),0.0,0.0,0
145,8,8,(0 0 -4.7815857 48.78),0.0,0.0,0
146,8,8,(0 0 -4.7562866 48.368835),0.0,0.0,0
147,8,8,(0 0 -4.7115326 48.042786),0.0,0.0,0
148,8,8,(0 0 -4.642929 47.63298),0.0,0.0,0
149,8,8,(0 0 -4.6454926 47.247772),0.0,0.0,0
150,8,8,(0 0 -4.6616974 46.866867),0.0,0.0,0
151,8,8,(0 0 -4.4956055 46.440826),0.0,0.0,0
152,8,8,(0 0 -4.3540344 46.014313),0.0,0.0,0
153,8,8,(0 0 -4.305786 45.608246),0.0,0.0,0
154,8,8,(0 0 -4.301605 45.232986),0.0,0.0,0
155,8,8,(0 0 -4.286072 44.829132),0.0,0.0,0
156,8,8,(0 0 -4.1707306 44.2377),0.0,0.0,0
157,8,8,(0 0 -4.056946 43.6248),0.0,0.0,0
158,8,8,(0 0 -3.9449463 42.872665),0.0,0.0,0
159,8,8,(0 0 -3.8347778 42.053513),0.0,0.0,0
160,8,8,(0 0 -3.7393646 41.34111),0.0,0.0,0
161,8,8,(0 0 -3.7603912 40.840378),0.0,0.0,0
162,8,8,(0 0 -3.8115387 40.391068),0.0,0.0,0
163,8,8,(0 0 -3.6899567 39.750732),0.0,0.0,0
164,8,8,(0 0 -3.658081 39.086792),0.0,0.0,0
165,8,8,(0 0 -3.6760406 38.39319),0.0,0.0,0
166,8,8,(0 0 -3.6260986 37.68199),0.0,0.0,0
167,8,8,(0 0 -3.5531158 37.10843),0.0,0.0,0
168,8,8,(0 0 -3.380661 36.55211),0.0,0.0,0
169,8,8,(0 0 -3.2064056 35.94333),0.0,0.0,0
170,8,8,(0 0 -3.1138153 35.31299),0.0,0.0,0
171,8,8,(0 0 -2.9869232 34.580353),0.0,0.0,0
